Fecha,Precio_EUR_MWh,Año
2017-02-15,20.19,2017
2017-02-16,20.1,2017
2017-02-17,19.72,2017
2017-02-18,19.29,2017
2017-02-19,19.23,2017
2017-02-20,19.7,2017
2017-02-21,19.01,2017
2017-02-22,18.55,2017
2017-02-23,18.22,2017
2017-02-24,18.4,2017
2017-02-25,18.19,2017
2017-02-26,18.31,2017
2017-02-27,18.4,2017
2017-02-28,18.13,2017
2017-03-01,17.9,2017
2017-03-02,17.59,2017
2017-03-03,17.58,2017
2017-03-04,16.86,2017
2017-03-05,17.3,2017
2017-03-06,17.4,2017
2017-03-07,16.87,2017
2017-03-08,16.99,2017
2017-03-09,16.72,2017
2017-03-10,16.36,2017
2017-03-11,15.98,2017
2017-03-12,15.87,2017
2017-03-13,15.77,2017
2017-03-14,15.96,2017
2017-03-15,16.14,2017
2017-03-16,16.52,2017
2017-03-17,16.44,2017
2017-03-18,16.07,2017
2017-03-19,16.68,2017
2017-03-20,18.5,2017
2017-03-21,16.54,2017
2017-03-22,16.8,2017
2017-03-23,16.42,2017
2017-03-24,16.68,2017
2017-03-25,16.42,2017
2017-03-26,17.29,2017
2017-03-27,19.0,2017
2017-03-28,17.0,2017
2017-03-29,16.84,2017
2017-03-30,16.77,2017
2017-03-31,16.4,2017
2017-04-01,17.12,2017
2017-04-02,18.25,2017
2017-04-03,18.11,2017
2017-04-04,17.75,2017
2017-04-05,18.34,2017
2017-04-06,18.18,2017
2017-04-07,18.08,2017
2017-04-08,18.14,2017
2017-04-09,18.21,2017
2017-04-10,18.3,2017
2017-04-11,18.16,2017
2017-04-12,17.76,2017
2017-04-13,17.93,2017
2017-04-14,17.2,2017
2017-04-15,17.9,2017
2017-04-16,18.0,2017
2017-04-18,18.14,2017
2017-04-19,18.03,2017
2017-04-20,17.85,2017
2017-04-21,17.8,2017
2017-04-22,17.9,2017
2017-04-23,18.0,2017
2017-04-24,18.2,2017
2017-04-25,17.8,2017
2017-04-26,17.51,2017
2017-04-27,17.81,2017
2017-04-28,18.14,2017
2017-04-29,18.06,2017
2017-04-30,18.5,2017
2017-05-01,18.5,2017
2017-05-02,18.5,2017
2017-05-03,18.08,2017
2017-05-04,18.31,2017
2017-05-05,18.47,2017
2017-05-06,18.12,2017
2017-05-07,18.75,2017
2017-05-08,18.75,2017
2017-05-09,18.5,2017
2017-05-10,18.15,2017
2017-05-11,18.11,2017
2017-05-12,18.01,2017
2017-05-13,17.61,2017
2017-05-14,18.19,2017
2017-05-15,18.1,2017
2017-05-16,18.19,2017
2017-05-17,18.0,2017
2017-05-18,18.0,2017
2017-05-19,18.04,2017
2017-05-20,17.69,2017
2017-05-21,17.9,2017
2017-05-22,18.0,2017
2017-05-23,17.95,2017
2017-05-24,17.76,2017
2017-05-25,17.77,2017
2017-05-26,17.8,2017
2017-05-27,17.33,2017
2017-05-28,17.4,2017
2017-05-30,17.81,2017
2017-05-31,18.01,2017
2017-06-01,18.04,2017
2017-06-02,18.04,2017
2017-06-03,16.95,2017
2017-06-04,17.08,2017
2017-06-05,17.14,2017
2017-06-06,17.14,2017
2017-06-07,16.91,2017
2017-06-08,16.9,2017
2017-06-09,17.09,2017
2017-06-10,17.01,2017
2017-06-11,17.99,2017
2017-06-12,18.29,2017
2017-06-13,17.45,2017
2017-06-14,17.62,2017
2017-06-15,17.83,2017
2017-06-16,17.73,2017
2017-06-17,17.31,2017
2017-06-18,17.7,2017
2017-06-19,18.3,2017
2017-06-20,18.24,2017
2017-06-21,18.78,2017
2017-06-22,18.77,2017
2017-06-23,18.73,2017
2017-06-24,17.69,2017
2017-06-25,17.58,2017
2017-06-26,18.64,2017
2017-06-27,18.18,2017
2017-06-28,17.18,2017
2017-06-29,16.98,2017
2017-06-30,17.31,2017
2017-07-01,16.84,2017
2017-07-02,16.49,2017
2017-07-03,18.62,2017
2017-07-04,17.41,2017
2017-07-05,17.0,2017
2017-07-06,17.19,2017
2017-07-07,17.05,2017
2017-07-08,16.57,2017
2017-07-09,16.97,2017
2017-07-10,17.39,2017
2017-07-11,17.25,2017
2017-07-12,17.09,2017
2017-07-13,16.78,2017
2017-07-14,16.82,2017
2017-07-15,16.67,2017
2017-07-16,16.86,2017
2017-07-17,17.35,2017
2017-07-18,16.89,2017
2017-07-19,16.56,2017
2017-07-20,16.5,2017
2017-07-21,16.57,2017
2017-07-22,16.51,2017
2017-07-23,16.84,2017
2017-07-24,17.1,2017
2017-07-25,16.69,2017
2017-07-26,16.43,2017
2017-07-27,16.44,2017
2017-07-28,16.54,2017
2017-07-29,16.34,2017
2017-07-30,16.99,2017
2017-07-31,17.49,2017
2017-08-01,17.14,2017
2017-08-02,17.0,2017
2017-08-03,17.25,2017
2017-08-04,17.3,2017
2017-08-05,16.1,2017
2017-08-06,15.53,2017
2017-08-07,16.99,2017
2017-08-08,16.41,2017
2017-08-09,16.3,2017
2017-08-10,16.0,2017
2017-08-11,16.05,2017
2017-08-12,15.5,2017
2017-08-13,16.18,2017
2017-08-14,16.21,2017
2017-08-15,16.04,2017
2017-08-16,16.2,2017
2017-08-17,16.29,2017
2017-08-18,16.29,2017
2017-08-19,15.97,2017
2017-08-20,16.0,2017
2017-08-21,17.5,2017
2017-08-22,16.5,2017
2017-08-23,16.72,2017
2017-08-24,16.88,2017
2017-08-25,16.94,2017
2017-08-26,16.3,2017
2017-08-27,16.94,2017
2017-08-28,17.25,2017
2017-08-29,17.59,2017
2017-08-30,17.6,2017
2017-08-31,17.86,2017
2017-09-01,17.77,2017
2017-09-02,16.7,2017
2017-09-03,17.77,2017
2017-09-04,18.0,2017
2017-09-05,17.2,2017
2017-09-06,17.2,2017
2017-09-07,17.31,2017
2017-09-08,17.32,2017
2017-09-09,16.93,2017
2017-09-10,16.47,2017
2017-09-11,17.3,2017
2017-09-12,17.28,2017
2017-09-13,17.22,2017
2017-09-14,17.31,2017
2017-09-15,17.67,2017
2017-09-16,17.89,2017
2017-09-17,17.89,2017
2017-09-18,18.2,2017
2017-09-19,17.9,2017
2017-09-20,17.91,2017
2017-09-21,17.95,2017
2017-09-22,18.25,2017
2017-09-23,17.9,2017
2017-09-24,17.6,2017
2017-09-25,18.37,2017
2017-09-26,18.33,2017
2017-09-27,18.0,2017
2017-09-28,18.67,2017
2017-09-29,18.98,2017
2017-09-30,17.48,2017
2017-10-01,18.77,2017
2017-10-02,18.9,2017
2017-10-03,19.93,2017
2017-10-04,20.11,2017
2017-10-05,20.23,2017
2017-10-06,20.38,2017
2017-10-07,19.29,2017
2017-10-08,20.55,2017
2017-10-09,21.87,2017
2017-10-10,22.63,2017
2017-10-11,22.65,2017
2017-10-12,21.71,2017
2017-10-13,21.87,2017
2017-10-14,20.91,2017
2017-10-15,20.72,2017
2017-10-16,21.6,2017
2017-10-17,21.17,2017
2017-10-18,20.8,2017
2017-10-19,21.04,2017
2017-10-20,21.23,2017
